eid	track_name	entity_code	track_id	artist_id	artist_name	artist_genre	artist_birth_date	artist_birth_place
4	I Drive the Hearse	m.0dv3tc3	81	4	Porcupine Tree			
9	Darkness and Frost	m.0rh6gs2	117	40	Wintersun			
12	Dissolving With the Night	m.0gb9b_g	159	20	Blackfield			
28	Intermediate Jesus	m.0n7gjw	377	4	Porcupine Tree			
29	We Got Used To Us	m.0sjt5t_	380	19	Riverside			
41	Lonely Is the Word	m.0lgrbl	488	85	Black Sabbath			
57	Farther Than The Sun	m.0wt43vt	689	12	Alter Bridge			
63	I'll Cast a Shadow	m.0mlyss	716	56	Pantera	Male	1964-02-03	Santiago de Querétaro
72	Prediction of Warfare	m.01c_ztc	844	8	Amon Amarth			
73	The Psalm of Lydia	m.013hhjl	854	174	Nevermore			
74	Sell My Heart For Stones	m.013hhjc	855	174	Nevermore			
75	Message to Harry Manback II	m.0ljw1_	857	129	Tool			
79	Sentient 6	m.013hhhq	874	174	Nevermore			
82	All Around the World (reprise)	m.0lw5z_	918	79	Oasis			
83	Incantations Of The Apprentice	m.0nfzrs	923	186	Symphony X			
97	No Good (Attack the Radical)	m.0v7g4r	1138	56	Pantera	Male	1964-02-03	Santiago de Querétaro
109	Banned from Heaven	m.0dmvtmx	1266	59	Children of Bodom			
111	Hellhounds on My Trail	m.0dps23h	1273	59	Children of Bodom			
157	Bullets Are Blind	m.0fvjggt	3068	138	Kalmah			
159	Better not to Tell	m.0fvjgg7	3091	138	Kalmah			
160	Godeye	m.0fvjgfv	3094	138	Kalmah			
166	Down The Slopes Of Death	m.0ns8xb	3106	8	Amon Amarth			
180	She's Nubs	m.0qf4mn	3229	416	NOFX			
181	Idiots Are Taking Over	m.0qf4mf	3230	416	NOFX			
185	You're Bleeding	m.0l2lwp	3284	416	NOFX			
195	Death in the Eyes of Dawn	m.0qbcddw	3353	34	Enslaved			
201	Ah Yom	m.0nmrxdx	3432	275	John Frusciante	Male	1970-03-05	Astoria
222	I Am Hell (Sonata in C#)	m.0nnpxy1	3577	36	Machine Head			
230	Mr. Tinkertrain	m.0mysxk	3694	37	Ozzy Osbourne	Male	1948-12-03	Marston Green
237	Reroute to Remain	m.0wy0wh	3791	171	In Flames			
239	You Were But a Ghost in My Arms	m.0n0jtc	3813	429	Agalloch			
258	Jimmy the Exploder	m.0m7k2r	4097	132	The White Stripes			
265	Summernight Horizon	m.0fsvfq4	4144	67	Anathema			
272	Gullaldr	m.0qdcklf	4247	445	Burzum			
274	Clenching the Fists of Dissent	m.0f0bgv4	4272	36	Machine Head			
310	Dismiss the Cynics	m.0wy0yg	4914	171	In Flames			
311	Egonomic	m.0wy0y0	4917	171	In Flames			
317	Rock You All Around the World	m.0dpmqlh	4959	52	Judas Priest			
324	The Right To Go Insane	m.0dpmwqh	5088	1	Megadeth			
331	Hole to Feed	m.0g8ttrq	5126	379	Depeche Mode			
334	Lunar Strain	m.012z54k	5172	171	In Flames			
335	Death at One's Elbow	m.0m0cdv	5188	499	The Smiths			
337	Tragedy and Triumph	m.0nmzqmw	5203	203	Iced Earth			
346	Beauty Through Order	m.0fw3g2n	5245	43	Slayer			
352	Scars Of The Old Stream	m.0pgfb7	5342	67	Anathema			
355	They (Will Always) Die	m.0pgf9l	5367	67	Anathema			
378	Merciless Cult	m.010g6_d	6145	578	DIR EN GREY			
380	Ruf In Den Wind	m.0dth45q	6163	770	Equilibrium			
393	New Damage	m.0l1k_c	6457	507	Soundgarden			
394	Stones of Sorrow	m.0l6v28	6474	810	Nile			
395	Without The Money	m.0jxnh73	6533	86	The Hives			
397	Gargarismo	m.01d3vpp	6633	829	Truckfighters			
398	Desert Cruiser	m.01d3vpg	6634	829	Truckfighters			
402	To Forgive Is To Suffer	m.0qk94p	6663	169	Death			
417	Burns Like a Buzzsaw Blade	m.0txmj4	6968	106	Annihilator			
421	Nothing Left to Say / Rocks	m.0sjw5pb	7211	872	Imagine Dragons			
448	Suits and Ladders	m.0dpmpg6	8261	416	NOFX			
449	Use the Man	m.0y9qrp	8345	1	Megadeth			
452	The Disintegrators	m.0m0s8r	8412	1	Megadeth			
453	Stay in the Shade	m.0swdkz	8510	1312	José González	Male	1978-07-31	Gothenburg
455	That Famous Ol' Spiced	m.0dpccw9	8628	1354	Alestorm			
473	In The Court Of Jarisleif	m.0f2d6d6	9471	1502	Turisas			
484	For the Greater Good of God	m.01d29z2	9616	283	Iron Maiden			
501	As Long as I fall	m.0dprc1_	10317	194	Helloween			
523	New Map	m.0nnsbfl	10737	1696	M83			
526	Where the Boats Go	m.0nm242c	10753	1696	M83			
537	Blues Hour	m.0yt4vq6	11550	1871	Mogwai			
539	Hound Of Winter	m.0nlf46w	11560	1871	Mogwai			
544	Beauty Lies in the Eye	m.0lwm4j	11662	1894	Sonic Youth			
549	Little Shadow (acoustic)	m.0nnhtx2	11802	1873	Yeah Yeah Yeahs			
552	Steamer Trunk	m.0nd0jq	11857	1915	Alkaline Trio			
596	A Little Biblical	m.0kl3kcg	12823	543	Band of Horses			
611	New Macabre	m.01bbdmf	13550	2200	Russian Circles			
617	Inn i slottet fra drømmen	m.0mtc8k	13687	445	Burzum			
618	Now Is Not the Time	m.0sn1jb3	13690	2000	CHVRCHES			
623	Somehow...	m.0fxrqx4	14008	2285	Woods of Desolation			
631	A Song for Our Fathers	m.0qwwkg	14168	1900	Explosions in the Sky			
643	Det kommer aldrig va över för mig	m.0sp15mg	14445	2390	Håkan Hellström	Male	1974-04-02	Älvsborg parish
650	SRXT	m.0dv3tv1	14744	2478	Bloc Party			
660	Take You on a Cruise	m.0ybx40	14823	2266	Interpol			
666	Strung Like Lights at Thee Printemps Erable	m.0n4kgwn	14926	677	Godspeed You! Black Emperor			
667	Pure As Snow (Trails of the Winter Storm)	m.0nlh_tt	14938	2506	Mono			
670	Kettling	m.0kmjjqb	15047	2478	Bloc Party			
674	Evig vandrar	m.0slbp49	15143	2544	Kvelertak			
687	Lounge (Closing Time)	m.0lyzl3	15275	2570	Modest Mouse			
701	Sympathy for the Strawberry	m.0mt2gt	15425	1894	Sonic Youth			
706	Valium Skies	m.0dqsg80	15472	514	The Verve			
709	Ruglen Holon	m.0nfp5z	15635	2562	Aphex Twin	Male	1971-08-18	Limerick
710	Prep Gwarlek 3b	m.0nfp52	15639	2562	Aphex Twin	Male	1971-08-18	Limerick
713	QKThr	m.0nfp4f	15647	2562	Aphex Twin	Male	1971-08-18	Limerick
718	Orban Eq Trx4	m.0lylk_	15675	2562	Aphex Twin	Male	1971-08-18	Limerick
720	Jynweythek	m.0lylhg	15686	2562	Aphex Twin	Male	1971-08-18	Limerick
721	Semena Mertvykh	m.0vxq2fx	15719	2267	Boards of Canada			
725	Transmisiones Ferox	m.0v4q_7h	15749	2267	Boards of Canada			
726	Jacquard Causeway	m.0v4k2l5	15752	2267	Boards of Canada			
744	Cha-Ching (Till We Grow Older)	m.0vyxqdc	16109	872	Imagine Dragons			
752	Leave the Bourbon on the Shelf	m.0dmmtr7	16386	924	The Killers			
