eid	name	entity	artist_name	artist_genre	artist_birth_date	artist_birth_place
0	Up the Downstair	 m.0twntz	Porcupine Tree			
1	Tornado Of Souls	 m.0xt3h5				
2	The End of the Beginning	 m.0ftd33x	God Is An Astronaut			
3	Brand New Start	 m.0dnh50s	Alter Bridge			
4	I Drive the Hearse	 m.0dv3tc3	Porcupine Tree			
5	Circle of Manias	 m.0dv3tbb	Porcupine Tree			
6	Octane Twisted	 m.0dv3t1r	Porcupine Tree			
7	Kneel and Disconnect	 m.0dv3t2h	Porcupine Tree			
8	Mr. Crowley	 m.0z32_f	Ozzy Osbourne	Male	1948-12-03	Marston Green
9	Darkness and Frost	 m.0rh6gs2	Wintersun			
10	Summer Moved On	 m.0l1vj8	a-ha			
12	Dissolving With the Night	 m.0gb9b_g	Blackfield			
13	Not Beautiful Anymore	 m.0133hnr	Porcupine Tree			
14	Revolution Is My Name	 m.0152wr5	Pantera	Male	1964-02-03	Santiago de Querétaro
15	Silent Night, Bodom Night	 m.0149kfp	Children of Bodom			
16	Street Fighting Man	 m.0mv78_	Rage Against the Machine			
17	Hunting Song	 m.01brlkd	Korpiklaani			
18	Words Darker Than Their Wings	 m.0fybsr8	Alter Bridge			
19	Make It Right	 m.0f_1fxs	Alter Bridge			
20	Still Remains	 m.0fvj91f	Alter Bridge			
21	Ghost Of Days Gone By	 m.0fvmnrg	Alter Bridge			
22	Sectarian	 m.0nl81h1	Steven Wilson	Male	1967-11-03	Kingston upon Thames
23	Master Of The Moon	 m.015w5dk	Dio	Male	1988-05-31	Amsterdam
24	Kill Your Heroes	 m.0nn5skz	AWOLNATION			
25	Thunderhorse	 m.0dql0fk	Dethklok			
26	My Jekyll Doesn't Hide	 m.0p5_8j	Ozzy Osbourne	Male	1948-12-03	Marston Green
27	Harmony Korine	 m.0fqpjj1	Steven Wilson	Male	1967-11-03	Kingston upon Thames
28	Intermediate Jesus	 m.0n7gjw	Porcupine Tree			
