eid	pid	name	entity	artist_name	artist_genre	artist_birth_date	artist_birth_place
0	3	Up the Downstair	m.0twntz	Porcupine Tree			
1	8	Tornado Of Souls	m.0xt3h5				
2	64	The End of the Beginning	m.0ftd33x	God Is An Astronaut			
3	72	Brand New Start	m.0dnh50s	Alter Bridge			
4	81	I Drive the Hearse	m.0dv3tc3	Porcupine Tree			
5	82	Circle of Manias	m.0dv3tbb	Porcupine Tree			
6	87	Octane Twisted	m.0dv3t1r	Porcupine Tree			
7	99	Kneel and Disconnect	m.0dv3t2h	Porcupine Tree			
8	101	Mr. Crowley	m.0z32_f	Ozzy Osbourne	Male	1948-12-03	Marston Green
9	117	Darkness and Frost	m.0rh6gs2	Wintersun			
10	120	Summer Moved On	m.0l1vj8	a-ha			
12	159	Dissolving With the Night	m.0gb9b_g	Blackfield			
13	161	Not Beautiful Anymore	m.0133hnr	Porcupine Tree			
14	181	Revolution Is My Name	m.0152wr5	Pantera	Male	1964-02-03	Santiago de Querétaro
15	188	Silent Night, Bodom Night	m.0149kfp	Children of Bodom			
16	190	Street Fighting Man	m.0mv78_	Rage Against the Machine			
17	227	Hunting Song	m.01brlkd	Korpiklaani			
18	244	Words Darker Than Their Wings	m.0fybsr8	Alter Bridge			
19	253	Make It Right	m.0f_1fxs	Alter Bridge			
20	254	Still Remains	m.0fvj91f	Alter Bridge			
21	261	Ghost Of Days Gone By	m.0fvmnrg	Alter Bridge			
22	296	Sectarian	m.0nl81h1	Steven Wilson	Male	1967-11-03	Kingston upon Thames
23	306	Master Of The Moon	m.015w5dk	Dio	Male	1988-05-31	Amsterdam
24	310	Kill Your Heroes	m.0nn5skz	AWOLNATION			
25	311	Thunderhorse	m.0dql0fk	Dethklok			
26	330	My Jekyll Doesn't Hide	m.0p5_8j	Ozzy Osbourne	Male	1948-12-03	Marston Green
27	369	Harmony Korine	m.0fqpjj1	Steven Wilson	Male	1967-11-03	Kingston upon Thames
28	377	Intermediate Jesus	m.0n7gjw	Porcupine Tree			
29	380	We Got Used To Us	m.0sjt5t_	Riverside			
30	387	Little James	m.0tgfcc	Oasis			
31	392	Act of Desperation	m.0gdtjc7	Amaranthe			
32	395	Unholy Confessions	m.0z3hbh	Avenged Sevenfold			
34	409	Triple Corpse Hammerblow	m.0p6qqv	Children of Bodom			
35	419	Sixpounder	m.0xckqf	Children of Bodom			
37	449	Only Child	m.0ft8vhj	Steven Wilson	Male	1967-11-03	Kingston upon Thames
38	459	Blackfield	m.0vfqm6	Blackfield			
39	474	Dio	m.0lzr7t	Tenacious D			
40	475	Kickapoo	m.0dr08gk	Tenacious D			
41	488	Lonely Is the Word	m.0lgrbl	Black Sabbath			
42	493	Blinded in Chains	m.016ts5h	Avenged Sevenfold			
43	494	Burn It Down	m.019yc4k	Avenged Sevenfold			
44	530	Helpless	m.0l5svt	Diamond Head			
45	533	Left Out	m.0d_r368	Riverside			
46	537	Egoist Hedonist	m.0dql_rn	Riverside			
47	582	Technical Difficulties	m.0txg20	Racer X			
48	590	Rust Never Sleeps	m.0fvjggg	Kalmah			
50	596	Director's Cut	m.0gdtjbl	Amaranthe			
51	599	Forever and a Day	m.0v5ldf	The Offspring			
52	617	Scars	m.0vfqmn	Blackfield			
53	621	Burning My Soul	m.0lj3bl	Dream Theater			
55	674	The Small Print	m.012ctc5	Muse			
56	678	Fragile Dreams	m.0pgfjc	Anathema			
57	689	Farther Than The Sun	m.0wt43vt	Alter Bridge			
58	690	Cry A River	m.0wt2bsw	Alter Bridge			
59	693	The Uninvited	m.0wt2g3f	Alter Bridge			
60	694	Bleed It Dry	m.0wtfycm	Alter Bridge			
61	707	The Baying of the Hounds	m.0143xrg	Opeth			
62	708	Cemetery Gates	m.0rq837	Pantera	Male	1964-02-03	Santiago de Querétaro
63	716	I'll Cast a Shadow	m.0mlyss	Pantera	Male	1964-02-03	Santiago de Querétaro
64	721	Yesterday Don't Mean Shit	m.0ldnv9	Pantera	Male	1964-02-03	Santiago de Querétaro
67	793	Illuminated	m.0rftt56	Hurts			
68	800	Sword Chant	m.0yjlxq	Ensiferum			
69	808	Battle Song	m.019h6g1	Ensiferum			
70	815	Treacherous Gods	m.019h6fm	Ensiferum			
71	817	Abandoned	m.019h6f5	Ensiferum			
72	844	Prediction of Warfare	m.01c_ztc	Amon Amarth			
73	854	The Psalm of Lydia	m.013hhjl	Nevermore			
74	855	Sell My Heart For Stones	m.013hhjc	Nevermore			
75	857	Message to Harry Manback II	m.0ljw1_	Tool			
76	859	Dreaming Light	m.010sr5y8	Anathema			
77	867	Otherside	m.011qlkz	Red Hot Chili Peppers			
78	868	Nienawiść	m.0pn2j_	Myslovitz			
79	874	Sentient 6	m.013hhhq	Nevermore			
80	881	Clairvoyant Disease	m.0rnvv7	Avenged Sevenfold			
81	913	Get the Lead Out	m.0nc8v9	Aerosmith			
82	918	All Around the World (reprise)	m.0lw5z_	Oasis			
83	923	Incantations Of The Apprentice	m.0nfzrs	Symphony X			
84	954	Alter Mann	m.0ld_v8	Rammstein			
85	974	We Will Rock You	m.0y883t	Queen			
86	977	Stronger Than All	m.0rbxtg	Hammerfall			
87	1007	Strip the Soul	m.0nc_w8	Porcupine Tree			
88	1009	My Ashes	m.0fyplt7	Porcupine Tree			
89	1051	Wedding Nails	m.0nc_v5	Porcupine Tree			
90	1052	Gravity Eyelids	m.0nc_tz	Porcupine Tree			
91	1056	Fast As a Shark	m.0p5ts6	Accept			
92	1076	Day 69	m.018rq09	Decapitated			
93	1109	Long Road to Ruin	m.0dnc5kw	Foo Fighters			
94	1114	Floods	m.0ldvtq	Pantera	Male	1964-02-03	Santiago de Querétaro
95	1116	Suicide Note Pt. II	m.010t5vqp	Pantera	Male	1964-02-03	Santiago de Querétaro
96	1125	Use My Third Arm	m.0sh_lp	Pantera	Male	1964-02-03	Santiago de Querétaro
97	1138	No Good (Attack the Radical)	m.0v7g4r	Pantera	Male	1964-02-03	Santiago de Querétaro
98	1149	Alcohaulin' Ass	m.0d_vvk4	Hellyeah			
99	1156	Fading Like A Flower	m.0lz7bs	Roxette			
100	1157	HELLYEAH	m.0d_vvl8	Hellyeah			
101	1166	Lyla	m.0127dy4	Oasis			
102	1171	Sadness and Hate	m.0z2xc7	Wintersun			
103	1177	Supa Scoopa and Mighty Scoop	m.0lndz5	Kyuss			
104	1183	Gardenia	m.0lndyr	Kyuss			
105	1188	Fatso Forgotso	m.0vrg6m	Kyuss			
106	1199	Northern Comfort	m.0lr5pp	Children of Bodom			
107	1214	You're My Best Friend	m.010fdk1	Queen			
108	1238	Was It Worth It?	m.0rf45rw	Children of Bodom			
109	1266	Banned from Heaven	m.0dmvtmx	Children of Bodom			
110	1272	Blooddrunk	m.0dps22h	Children of Bodom			
111	1273	Hellhounds on My Trail	m.0dps23h	Children of Bodom			
112	1285	Cloudy Now	m.0vfqnj	Blackfield			
113	1293	Lake Bodom	m.011sbt5	Children of Bodom			
114	1331	Lifelines	m.0qx9df	a-ha			
115	1356	The Curtain Falls	m.0zddzq	Riverside			
116	1363	Orange Crush	m.0rwdg5	R.E.M.			
117	1367	Blue Velvet	m.0pn2q0	Myslovitz			
119	1448	Death Whispered a Lullaby	m.0ps49f	Opeth			
120	1487	She Has No Time	m.010d2nb	Keane			
121	1489	The Invisible Man	m.0lh8w4	Queen			
122	1492	Dirge for November	m.0n1n0c	Opeth			
123	1506	Misanthrope	m.0nkx34	Death			
124	1520	Sacred Serenity	m.0nkx28	Death			
125	1523	1,000 Eyes	m.0nkx2h	Death			
126	1535	Entrapment	m.012pyps	Meshuggah			
127	1543	Full Circle	m.0pd5sl	Aerosmith			
129	1556	Some Day	m.0f65631	Blackfield			
130	1572	Ameno	m.0122vs2	Era			
131	1617	Sweet Home Chicago	m.0zjq_h	The Blues Brothers			
132	1692	Dosed	m.0nkxp9	Red Hot Chili Peppers			
133	1716	Back in the Saddle	m.0n8vpk	Aerosmith			
134	1732	Torture Me	m.01bchb0	Red Hot Chili Peppers			
